@relation CE802_Ass_2017_Data

@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute C {True,False}

@data
2.14,2.08,3.41,2.36,2.81,0,10,1.76,-17,0.75,0.81,0.82,1,1,True
2.87,5.41,3.96,2.86,4.62,2,18,1.79,-3,0.56,0.31,0.74,1,3,False
2.28,2.46,2.47,3.15,6.86,2,38,1.75,19,2.26,0.48,0.73,1,4,False
-0.92,-2.98,-2.93,-2.37,-2.86,5,235,10.85,-35,5.2,9.8,5.4,10,10,True
2.2,3.49,2.46,6.28,3.03,4,13,1.58,18,0.1,0.95,0.27,1,0,True
-1.75,0.26,-2.6,0.04,-2.18,10,145,9.55,5,-0.48,9.45,5.6,10,55,True
0.53,0.18,-0.45,-1.42,-0.76,25,290,6.5,90,-0.09,5.25,7.45,10,45,False
2.23,3.93,3.74,3.89,3.61,2,73,2.01,15,0.85,0.85,0.52,1,6,True
2.35,2.53,2.59,4.89,2.79,-1,0,1.04,-13,0.91,0.57,0.77,1,6,True
-1.41,-1.01,-0.52,-1.71,-1.45,15,305,10,-60,2.34,5.95,6.75,10,40,False
3.31,4.41,2.72,3.52,3.58,4,64,1.29,15,3.13,0.61,0.89,1,8,False
-0.84,0.93,-0.64,-2.19,-0.64,15,315,6.25,-45,2.18,6,9.3,10,30,False
-0.39,-1.48,-0.78,-0.95,-0.95,15,20,6,-90,-0.35,5.4,9.1,10,40,False
3.21,3.37,3.03,3.46,4.15,4,18,1.01,11,1.56,0.02,0.84,1,14,False
3.5,3.21,2.29,3.16,2.19,4,9,0.9,11,1.17,0.96,0.64,1,14,True
-0.37,-1.06,1.6,-1.36,-1.38,15,30,8.85,-25,-0.33,5.8,5.5,10,25,False
1.44,2.09,1.86,0.06,-0.23,15,130,5.2,-45,1.48,5.15,5.35,10,50,False
-2.65,-3.03,-2.8,-1.61,-2.93,15,70,5.5,-60,3.01,10,6.1,10,45,True
-1.95,-1.55,-1.38,-1.41,-0.62,5,215,12.1,-10,0.45,6.55,6.6,10,40,False
3.65,2.13,4.88,2.17,3.48,2,38,0.23,14,1.29,0.95,0.44,1,3,True
-2.18,0.75,-1.29,-1.14,-0.81,15,265,10.9,-75,0.55,5.8,8.05,10,30,False
3.01,3.3,5.99,4.92,2.26,0,14,1.52,-2,1.02,0.37,0.56,0,5,False
-1.15,-0.37,1.02,-0.32,-0.44,15,230,14.4,75,-1.09,5.25,7.75,10,35,False
-2.08,-2.32,-1.35,-2.37,-1.41,5,50,7.15,-15,-0.03,7.5,8.5,10,50,True
-1.15,-2.24,-1.94,-1.79,-0.16,15,355,8.8,80,1.62,8,5.8,10,50,True
-3.07,-2.28,-0.57,-2.73,-2.98,5,190,8.8,-45,1.39,8.55,6.25,10,0,True
2.53,4.62,2.53,5.85,2.38,2,73,1.59,-14,1.79,0.77,0.49,1,2,True
2.8,6.35,2.86,4.09,2.62,2,9,2.01,14,2.59,0.73,0.66,1,3,True
2.48,2.99,2.72,2.82,3.11,0,9,1.34,-9,0.84,0.61,0.14,1,7,False
-0.82,0.21,-0.77,3.73,3.08,5,75,6.4,-80,1.84,4.75,6.5,10,35,False
-1.71,-0.96,-1.2,-2.48,-2.69,15,370,13.65,-30,0.69,8,7.55,10,45,True
4.42,4.25,5.53,3.25,4.18,2,71,1.23,13,1.91,0.66,0.52,1,10,False
2.82,2.78,2.93,2.53,3.39,2,6,1.31,-16,0.84,0.43,0.64,0,14,False
2.84,3.84,3.94,3.25,2.75,2,6,1.7,7,1.33,0.14,0.31,1,7,False
5.51,4.27,2.85,4.71,2.92,0,18,1.94,-5,1.86,0.62,0.04,1,12,False
0.05,-1.24,-0.95,-1.52,-1.04,15,330,12.1,-30,0.23,5.85,5.95,10,30,False
-1.05,-1.27,-1.02,-0.52,-1.21,15,340,10.95,-40,0.65,5.25,6.35,10,30,False
4.8,3.27,2.97,2.3,5.21,4,36,0.86,18,0.6,0.94,0.35,1,9,True
0.03,-1.48,-1.7,-1.9,-1.6,15,40,9.15,45,-0.89,6.5,6.7,10,40,False
-0.54,0,-0.11,-0.66,0.75,15,235,9.55,90,0.06,5.05,6,10,25,False
0.13,-1.16,-2.23,-1.23,-1.56,5,45,7.2,-35,-0.3,5.95,8.8,10,20,True
-0.87,0.55,-0.51,-1.5,2.94,15,35,10.25,-35,-0.88,6.7,5.15,10,45,False
2.58,2.32,3.46,3.35,2.43,0,5,0.66,-5,1.56,0.77,0.63,1,8,True
5.8,2.96,3.52,4.15,2.98,3,3,1.29,-0,1.08,0.41,0.52,1,4,False
-1.99,-1.88,-1.84,-1.72,-2.25,5,270,5.1,-20,2.14,8.55,5.85,10,60,False
0.1,-1.61,-1.92,0.15,-2.35,5,200,8.75,-55,2.47,6.9,7.95,10,40,False
-1.52,-1.48,-2,-0.05,-1.97,15,260,7.15,50,1.23,6.45,7.4,10,20,True
-1.3,-2.14,-1.97,-1.38,-2.5,5,120,5.85,-90,1.59,8.5,8.65,10,70,False
5.65,3.84,3.11,3.31,3.44,2,1,1.22,5,0.65,0.38,0.17,1,10,False
3.22,3.81,2.23,3.84,2.32,2,29,1.36,-12,1.8,0.95,0.33,1,9,True
3.09,6.07,2.94,2.72,2.57,4,7,0.77,19,0.37,0.74,0.43,1,14,True
-1.17,-1.67,3.27,-1.28,-1.5,25,340,12.6,105,-1.02,6.25,5.65,10,25,False
2.3,3.08,2.67,3.25,3.66,2,5,1.27,-7,1.14,0.76,0.35,1,8,False
3.28,7.48,6.35,3.75,3.28,3,74,1.3,-0,1.55,0.42,0.92,1,3,True
-1.61,-0.5,-1.54,-0.93,-0.46,15,100,10.15,-95,2.64,6.1,6.95,10,15,True
-1.53,-2.1,-2.44,-1.34,-2.74,15,385,7.65,35,1.72,9.75,6.35,10,55,True
0.14,1.45,0.47,0.96,0.62,25,160,5.95,20,2.51,5.1,6.05,10,70,False
0.54,-1.88,-1.27,-2.73,-0.56,5,240,11.25,-50,4.37,6.7,9.35,10,25,True
-1.32,-0.84,0.04,-1.81,2.37,15,125,12.15,-10,-0.28,6.65,7.55,10,70,False
2.79,3.88,4.84,2.31,5.3,4,13,1.71,14,1.99,0.45,0.97,1,9,True
4.9,4.83,6.02,3.48,2.62,4,53,1.95,5,1.81,0.15,0.81,1,5,False
-0.29,-0.22,1.9,2.12,1.4,5,365,11,-5,1.58,5.1,5.5,10,40,False
-1.69,0.47,-1.9,-2.46,-1.32,25,200,7.65,65,-0.47,6.45,7.75,10,25,True
-1.33,-1.48,-1.05,-0.05,0.12,5,75,13.55,-100,-0.4,7.75,5,10,55,False
3.46,2.57,2.73,2.69,3.28,2,12,1.05,7,1.65,1.06,0.58,1,12,True
3.1,4.01,2.39,3.13,3.38,0,22,0.95,-3,0.84,0.57,0.45,1,2,True
-1.53,-2.1,-2.37,-2.21,-2.1,25,265,5.2,60,-0.33,4.9,9.85,10,20,True
4.09,3.16,2.46,2.67,4.08,2,44,1.13,11,0.67,0.61,0.14,1,-0,False
-1.73,-0.9,-2.94,-2.13,-2.76,5,380,5.8,-60,4.07,7.05,10.05,10,45,False
3.53,4.12,4.43,2.95,2.61,4,8,1.63,9,1.16,0.14,0.61,1,14,True
-1.16,-0.83,-0.38,-1.23,-0.32,15,60,7.5,80,-0.22,5.6,6.3,10,5,False
3.06,4.96,2.52,3.13,2.49,4,14,0.87,15,2.43,0.3,0.38,1,8,False
3.18,2.53,2.68,4.45,2.47,2,51,1.95,-15,1.65,0.76,0.58,1,4,True
0.76,2.34,-0.63,0.2,0.11,5,95,6.75,-90,2.16,6.25,6.65,10,85,False
5.31,2.37,2.9,2.78,4.2,4,17,0.84,3,1.71,0.79,0.25,1,12,False
-0.49,-0.38,-1.04,-0.92,1.77,5,275,7.75,-35,1.29,7.15,8.4,10,75,False
2.44,2.62,4.05,2.87,4.41,4,18,0.74,13,3.56,0.68,0.07,1,10,False
-2.56,-1.69,-2.23,-2.57,-2.28,5,325,14.6,-60,1.37,9.55,6.85,10,40,True
-2.61,-2.5,-1.41,-2.84,-2.41,15,305,11.55,-80,1.05,8.65,6.45,10,15,True
6.19,2.95,6.56,3.64,2.39,4,5,1.13,13,1,0.31,0.79,1,5,True
1.16,-0.27,-1.03,-1.08,-0.69,25,215,9.35,75,0.73,6.9,5.2,10,65,False
3.19,3.88,6.06,2.97,2.78,2,1,1.87,-14,1.15,0.4,0.42,1,13,False
2.48,3.11,3.1,2.6,3.2,2,44,1.36,8,3.11,0.61,0.21,1,6,False
2.19,3.47,4.55,2.43,2.22,0,21,1.39,-9,0.93,0.96,0.9,1,3,True
2.58,2.11,1.97,4.49,2.05,4,15,0.53,14,0.52,0.86,0.9,1,-0,True
2.66,3.02,2.26,2.89,4.12,4,30,1.05,20,0.25,0.9,0.34,1,4,True
-0.91,-1.36,1.27,1.75,-0.07,15,75,6.2,40,1.38,6.1,6.2,10,40,False
0.56,1.83,-0.75,-1.11,1.29,15,290,6.3,-5,0.85,5.4,5.65,10,25,False
0.03,-1.4,-2.98,-0.89,-1.97,5,340,9.2,-10,1.41,9.6,6.4,10,50,True
-2.26,-2.04,-2.38,-1.47,-1.49,15,20,7.9,15,4.69,5.6,8.45,10,0,True
-1.33,-0.38,-0.21,2.07,-1.46,15,85,5.9,60,0.06,5.9,7.5,10,60,False
3.13,7.17,2.73,2.65,2.62,2,73,1.04,14,2.82,0.75,0.65,1,14,True
2.3,4.62,2.56,2.6,3.83,0,11,0.82,-3,4.67,0.88,0.49,1,8,True
-0.29,-1.44,-0.44,0.52,-0.61,15,245,10,-15,1.82,5.4,6.1,10,15,False
-0.92,-2.73,-2.61,-1.59,-2.53,5,390,8.45,-80,2.24,9.4,7.1,10,40,False
3.39,2.87,2.54,2.59,3.05,0,7,1.81,-7,1.24,0.64,0.39,1,5,False
2.6,2.93,3.75,2.76,3.03,2,3,0.4,10,0.9,0.69,0.33,1,5,False
3.26,2.33,5.01,4.33,5.03,4,62,1.87,18,0.76,0.43,0.9,1,10,False
-1.49,-2.19,-1.93,-2.11,-0.1,15,360,6.1,-10,1.72,7.1,10,10,25,False
2.57,2.52,5.53,3.52,2.49,0,11,1.69,-15,1.98,0.74,0.41,1,16,False
1.46,-1.37,-1.13,-1.74,-1.74,15,15,5.95,-75,0.5,6.75,6.8,10,40,False
3.14,4.1,2.44,3.34,2.4,2,7,1.35,-4,2.52,0.49,0.37,1,5,False
-2.25,-3.09,-1.36,-0.96,-2.53,15,185,6.9,50,0.1,10.05,6.6,10,60,True
3.69,3.35,2.82,4.18,3.67,2,12,1.72,-16,2.27,0.69,0.15,1,8,False
3.62,6.97,2.91,2.69,3.25,2,11,1.07,5,0.98,0.36,0.84,0,11,False
2.45,3.2,4.85,7.22,3.34,4,48,1.58,18,0.57,0.58,0.35,1,9,False
4.53,3.94,4.25,3.87,3.01,2,13,1.78,5,1.02,0.28,0.04,1,11,False
-2.51,-3.12,-2.64,-2.65,-2.69,15,215,5.7,-80,1.54,9.8,7.45,10,20,True
3.46,5.32,2.97,3.73,4.36,4,65,1.51,7,1.18,0.38,0.72,1,3,False
0.61,-0.7,1.41,0.13,-1.49,5,70,8.45,-35,-0.37,6.3,6.7,10,65,False
